序號,ns1:name3,ns1:SP_DESC,ns1:EP_DESC,ns1:CITY,ns1:TOWN,ns1:MGR_MCH,ns1:B_LENGTH,緯度,ns1:coordinates
bike30,宜蘭縣羅東鎮環鎮自行車道系統養護工程,,,宜蘭縣,羅東鎮,羅東鎮公所,4000,24.67236,121.777821
bike31,十六份圳堤頂自行車道,光榮路與羅莊街口,月眉路,宜蘭縣,羅東鎮,羅東鎮公所,4000,24.672547,121.777894
bike32,冬山河左岸森林自行車道,,,宜蘭縣,冬山鄉,宜蘭縣政府,582,24.63948936,121.7870522
bike33,冬山河自行車專用道,冬山火車站,五結防潮閘,宜蘭縣,五結鄉+冬山鄉,宜蘭縣政府,24000,24.63995697,121.7901421
bike34,林和源圳自行車道,冬山火車站,冬山河仿古橋,宜蘭縣,冬山鄉,冬山鄉公所,5400,24.63653838,121.7920567
bike35,鐵路高架橋下自行車道,冬山火車站,新城溪自行車道,宜蘭縣,冬山鄉,,3000,24.63627245,121.7921233
bike36,宜55線,宜55線,宜55線,宜蘭縣,南澳鄉,南澳公所,3391,24.46359602,121.8009192
bike37,十六份圳自行車道,十六份圳光榮路口,十六份圳月眉路口,宜蘭縣,羅東鎮,羅東鎮公所,5000,24.66240749,121.8050127
bike38,新城溪自行車道,新城溪口,新城橋武荖坑入口,宜蘭縣,冬山鄉,,4000,24.61612317,121.811756
bike39,三奇稻間美徑自行車道,冬山河仿古橋,三奇奉尊宮,宜蘭縣,冬山鄉,冬山鄉公所,2473,24.655155,121.812389
bike40,「宜蘭縣礁溪鄉二龍競渡環線自行車道工程」,礁溪龍泉橋,礁溪龍泉橋,宜蘭縣,礁溪鄉,礁溪鄉公所,17720,24.829731,121.81881
bike41,頭城鎮文雅路及公園路人車通行空間改善工程,,,宜蘭縣,頭城鎮,宜蘭縣頭城鎮公所,1105,24.857925,121.819233
bike42,宜蘭縣環島海線自行車道銜接北宜公路(台2竹安橋至台9猴洞橋)斷點串連工程,台9猴洞橋,台2竹安橋,宜蘭縣,頭城鎮,宜蘭縣政府,61480,24.83024581,121.8199682
bike43,宜蘭縣平原區域自行車道斷點改善工程,竹安舊橋,宜蘭市永金1號橋,宜蘭縣,全縣,縣政府及鄉公所,19400,24.71998259,121.8206124
bike44,宜蘭縣溪北環線自行車道串連改善工程,宜蘭河濱公園,宜蘭河濱公園,宜蘭縣,宜蘭市、壯圍鄉、員山鄉,宜蘭縣政府,32220,24.71998259,121.8206124
bike45,宜蘭縣環島自行車道台2竹安橋北延外澳車站串連工程,烏1號道路南端,外澳車站北端文壯溪,宜蘭縣,頭城鎮,東北角暨宜蘭海岸國家風景區管理處及頭城鎮公所,5887,24.71998259,121.8206124
bike46,宜蘭縣溪南環線自行車道串連改善工程,冬山火車站,冬山火車站,宜蘭縣,羅東鎮/冬山鄉/五結鄉,宜蘭縣政府/冬山鄉公所,33500,24.71998259,121.8206124
bike47,五結排水北岸自行車道,五結排水閘門,五結國小,宜蘭縣,五結鄉,五結鄉公所,4712,24.703958,121.829264
bike48,蘭陽溪南岸(五結段)二期自行車道,蘭陽溪口,五結防潮閘門,宜蘭縣,五結鄉,工商旅遊處,2100,24.70311397,121.8293667
bike49,宜蘭濱海自行車道(溪北段),烏石港廣場,東港榕樹公園,宜蘭縣,頭城鎮+壯圍鄉,東北角暨宜蘭海岸國家風景區管理處,18100,24.867994,121.831201
bike50,冬山河流域自行車道(107年度),清水大閘門,新寮橋旁小公園,宜蘭縣,五結鄉+冬山鄉,宜蘭縣政府、冬山鄉公所,28000,24.692658,121.832143
bike51,宜蘭濱海自行車道(溪南段),五結防潮閘門,頂寮生態公園,宜蘭縣,五結鄉,東北角暨宜蘭海岸國家風景區管理處,7400,24.691214,121.834001
bike52,猴洞溪自行車專用道,,,宜蘭縣,頭城鎮,,,24.86952627,121.8359507
bike53,外澳服務區至烏石港自行車道,外澳服務區,烏石港,宜蘭縣,頭城鎮,東北角暨宜蘭海岸國家風景區管理處,1000,24.877706,121.841085
bike54,文壯溪至外澳服務區堤頂自行車道,文壯溪口,外澳服務區,宜蘭縣,頭城鎮,東北角暨宜蘭海岸國家風景區管理處,850,24.88438901,121.846959
bike55,二結圳,,,宜蘭縣,,,,,
bike56,蘭陽溪北岸自行車道,噶瑪蘭橋(台2縣),蘭陽大橋,宜蘭縣,壯圍鄉,,,,
bike57,宜蘭河南岸自行車道,宜興橋,美福大排排水閘門,宜蘭縣,壯圍鄉,,,,
bike58,員山大道自行車道,員山鄉慈惠寺,員山鄉員山路三段,宜蘭縣,員山鄉,,,,
bike59,玉里鎮東環線自行車道,玉里鎮火車站,玉里鎮火車站,花蓮縣,玉里鎮,玉里鎮公所,7900,23.33130868,121.3118607
bike60,玉里鎮西環線自行車道,玉里鎮火車站,玉里鎮火車站,花蓮縣,玉里鎮,玉里鎮公所,11000,23.32413029,121.3131527
bike61,鳳林鎮東環自行車道,中山路,復興路,花蓮縣,鳳林鎮,鳳林鎮公所,19000,23.746296,121.447151
bike62,鳳林鎮東環線自行車道,中山路,中華路,花蓮縣,鳳林鎮,花蓮縣政府,14948,23.746245,121.447227
bike63,鳳林中華路通學步道(西側),信義路,民權路,花蓮縣,鳳林鎮,花蓮縣政府,1500,23.75157179,121.45277
bike64,鳳林中華路通學步道(東側),信義路,民權路,花蓮縣,鳳林鎮,花蓮縣政府,1500,23.75149199,121.4529994
bike65,鳳林自行車道,中和路,水源路,花蓮縣,鳳林鎮,鳳林鎮公所,19000,23.788769,121.492039
bike66,吉安鄉七腳川溪自行車道二期工程,,,花蓮縣,吉安鄉,吉安鄉公所,3050,23.98335108,121.5696859
bike67,花蓮市山海雙軸線自行車道,花蓮後火車站,花蓮市國福大橋,花蓮縣,花蓮市,花蓮縣花蓮市公所,8000,24.00299903,121.5891373
bike68,吉安鄉七腳川溪自行車道新建工程,,,花蓮縣,吉安鄉,吉安鄉公所,1310,23.96856799,121.5949202
bike69,長安街自行車道,南濱路,台九線,花蓮縣,花蓮市,,1300,23.96886001,121.5951418
bike70,花蓮市自行車道-西區自行車道,花蓮市後火車站,花蓮市後火車站,花蓮縣,花蓮市,花蓮市公所,11320,23.99680761,121.5967977
bike71,兩鐵自行車道,花蓮火車站,兩潭自行車道,花蓮縣,花蓮市,花蓮縣政府,3505,23.992188,121.601529
bike72,花蓮市自行車道-東區自行車道,花蓮火車站,花蓮火車站,花蓮縣,花蓮市,花蓮市公所,10500,23.99181363,121.602248
bike73,花蓮市自行車道-南區自行車道,花蓮市公所,花蓮市公所,花蓮縣,花蓮市,花蓮市公所,5870,23.98206855,121.6065127
bike74,花蓮市自行車道-北區自行車道,花蓮第一信用合作社,十六股大道,花蓮縣,花蓮市,花蓮市公所,7050,23.99536188,121.6293597
bike75,羅山自行車道,臺9線與花79鄉道(北端入口)交界口,臺9線與花79鄉道(南端入口)交界口,花蓮縣,富里鄉,交通部觀光局花東縱谷國家風景區管理處,3700,23.20221,121.27074
bike76,玉富自行車道,玉里火車站,東里鐵馬驛站,花蓮縣,玉里鎮,交通部觀光局花東縱谷國家風景區管理處,9700,23.33203038,121.3120008
bike77,玉里自行車道,大同路更生路交叉,安通火車站,花蓮縣,玉里鎮,,6000,23.33167841,121.312243
bike78,花蓮瑞穗鄉黃金湯泉銜接193線南段自行車道建置規畫設計及工程,萬榮鄉紅葉大橋,瑞穗鄉瑞良村秀山大橋,花蓮縣,瑞穗鄉,花蓮縣瑞穗鄉公所,12570,23.49168,121.331842
bike79,花蓮縣瑞穗鄉瑞穗車站經秀姑巒溪至黃金湯泉自行車道,富源,舞鶴,花蓮縣,瑞穗鄉,花蓮縣瑞穗鄉公所,35761,23.493624,121.354036
bike80,興泉圳自行車道,興泉圳源頭,大豐村,花蓮縣,瑞穗鄉,富源社區,0,23.58269046,121.3607097
bike81,瑞穗自行車道,瑞穗火車站,富源火車站,花蓮縣,瑞穗鄉,交通部觀光局花東縱谷國家風景區管理處,19600,23.49739272,121.3769263
bike82,瑞穗賞櫻自行車道,富源火車站,瑞北,花蓮縣,瑞穗鄉,瑞穗鄉公所,10300,23.52653314,121.3773394
bike83,花蓮瑞穗鄉黃金湯泉銜接193線南段自行車道建置規畫設計及工程2,富源火車站,連興路與舞鶴路三段交叉口,花蓮縣,瑞穗鄉,花蓮縣瑞穗鄉公所,2995,23.580319,121.380014
bike84,光復鄉吉利潭週邊連接台九線自行車道工程計畫,,,花蓮縣,光復鄉,光復鄉公所,2600,23.68404,121.410278
bike85,馬太鞍自行車道,,,花蓮縣,,,,23.66150241,121.4104015
bike86,馬太鞍自行車道,,,花蓮縣,,,,23.65998012,121.4119974
bike87,馬太鞍自行車道,,,花蓮縣,,,,23.66288289,121.4134854
bike88,馬太鞍溼地自行車道,光復橋,光復橋,花蓮縣,光復鄉,光復鄉公所,12000,23.660149,121.420902
bike89,光復糖廠自行車道,糖廠街,糖廠街,花蓮縣,光復鄉,花蓮台糖公司,2000,23.65901,121.421113
bike90,光復自行車道,光復火車站,光復火車站,花蓮縣,光復鄉,交通部觀光局花東縱谷國家風景區管理處,15900,23.66632125,121.4212632
bike91,花蓮縣環島自行車道路網斷點串連與優質化規劃設計及工程,,,花蓮縣,,花蓮縣政府,68700,23.822213,121.476751
bike92,縣道193線壽豐段自行車道,花蓮大橋,中興橋,花蓮縣,壽豐鄉,花蓮縣政府,25,23.765846,121.50019
bike93,花東海岸自行車道,,,花蓮縣,,,,23.52376817,121.5029682
bike94,白鮑溪自行車道,鯉魚潭風景區,台9丙,花蓮縣,壽豐鄉,,7300,23.92376419,121.5060521
bike95,鯉魚潭環潭自行車道,花東縱谷風景區鯉魚潭站,花東縱谷風景區鯉魚潭站,花蓮縣,壽豐鄉,交通部觀光局花東縱谷國家風景區管理處,4800,23.93574112,121.5083384
bike96,理想大地自行車道,,,花蓮縣,,,,23.8655639,121.5267218
bike97,理想大地自行車道,,,花蓮縣,,,,23.8633478,121.5287466
bike98,理想大地自行車道,,,花蓮縣,,,,23.86504826,121.5290038
bike99,吉安水利生態步道,干城一街,初英發電廠,花蓮縣,吉安鄉,吉安鄉公所,,23.95241053,121.5347528
bike100,初音自行車道,,,花蓮縣,,,,23.95280121,121.5348908
bike101,壽豐自行車道,木瓜溪橋,荖西橋,花蓮縣,壽豐鄉,,26000,23.92774774,121.5359618
bike102,親山自行車道,,,花蓮縣,,,,23.95458557,121.541957
bike103,田園線自行車步道,光華一街,木瓜溪橋,花蓮縣,吉安鄉,花蓮縣政府,3650,23.94120363,121.5450021
bike104,吉安鄉初英自行車步道,南華落羽松林,干城村干城1街底,花蓮縣,吉安鄉,吉安鄉公所,1600,23.9564893,121.5450311
bike105,干城一街綠色廊道,,,花蓮縣,吉安鄉,花蓮縣吉安鄉公所,1500,23.94661365,121.547789
bike106,吉安鄉親山線自行車道,慶豐村大山橋,南華村落羽松林,花蓮縣,吉安鄉,吉安鄉公所,5100,23.98617418,121.5545368
bike107,吉安鄉親水線自行車步道(七腳川溪自行車道),吉安溪出海口,大山橋,花蓮縣,吉安鄉,吉安鄉公所,6000,23.98676065,121.554589
bike108,國福橋至玄武宮自行車道,國福大橋,玄武宮,花蓮縣,花蓮市,,4000,23.99763463,121.5609315
bike109,佳林村自行車道,龍泉公園,國福路,花蓮縣,新城鄉,,1100,24.02392195,121.5911258
bike110,193線壽豐段自行車道優質化工程,花蓮大橋,中興橋,花蓮縣,,花蓮縣政府,29500,23.92247152,121.599973
bike111,光華河岸線自行車道,華中路,花蓮大橋,花蓮縣,吉安鄉,吉安鄉公所,1500,23.93728223,121.6026006
bike112,雙潭自行車道,南濱公園,鯉魚潭風景區,花蓮縣,新城鄉、花蓮市、吉安鄉、壽豐鄉,,35300,23.9637085,121.6064259
bike113,南北濱自行車道,南濱公園南端入口,曙光橋,花蓮縣,新城鄉,,2000,23.9637025,121.6064799
bike114,濱海線自行車(化仁海堤),東昌抽水站,東昌萬善廟,花蓮縣,吉安鄉,吉安鄉公所,1200,23.962706,121.607359
bike115,兩潭自行車道南濱斷點串連建置工程,太平洋公園,化仁海堤,花蓮縣,,花蓮縣政府,256,23.962668,121.607432
bike116,港濱自行車道,,,花蓮縣,,,,24.04167128,121.622331
bike117,濱海自行車道,曙光橋,德燕濱海植物園區,花蓮縣,新城鄉、花蓮市,,12400,24.04168842,121.6230497
bike118,新城都會自行車道,佳林五號橋,德燕濱海植物園區,花蓮縣,新城鄉,,7500,24.04167752,121.623063
bike119,港濱自行車道,,,花蓮縣,,,,24.03191293,121.6276076
bike120,美崙飯店自行車道,,,花蓮縣,,,,23.99989559,121.6287853
bike121,新城鄉順安自行車道,龍泉公園,新城天主教堂,花蓮縣,新城鄉,新城鄉公所,20200,24.12908992,121.6504642
bike122,烈嶼車轍道,九井路中華民國萬歲牆,九井路南環道出口,金門縣,烈嶼鄉,金門國家公園管理處、金門縣烈嶼鄉,18300,24.427492,118.26123
bike123,下埔下至湖下海堤,下埔下海底管線管理站,湖下海堤,金門縣,金寧鄉,金門縣養護工程所,2622,24.45453903,118.3029678
bike124,濱海暨文史訪遊線,同安渡頭,后湖濱海遊憩區,金門縣,金城鎮,金門縣金城鎮公所,16330,24.437505,118.308524
bike125,雄獅堡至下埔下,雄獅堡,下埔下,金門縣,金城鎮、金寧鄉,金門縣養護工程所,884,24.43238602,118.3095682
bike126,金城-歷史古蹟線,莒光樓,莒光樓,金門縣,金城鎮,金門縣政府,13000,24.425074,118.318806
bike127,金寧-戰役史蹟線,青年活動中心,青年活動中心,金門縣,金寧鄉,金門縣政府,14800,24.440547,118.321209
bike128,歐厝濱海景觀道路,歐厝,赤山圾垃場,金門縣,金城鎮,金門國家公園管理處,2800,24.402229,118.329819
bike129,中山林自行車道,自行車故事館,自行車故事館,金門縣,金寧鄉,金門國家公園管理處,6550,24.44376,118.353561
bike130,金沙-花香綠意線-1,金沙車站,金沙車站,金門縣,金沙鎮,金門縣政府,14760,24.488867,118.413091
bike131,金沙-花香綠意線-2,金沙車站,金沙車站,金門縣,金沙鎮,金門縣政府,13960,24.488828,118.413198
bike132,金湖-湖光山色線,農試所,農試所,金門縣,金湖鎮,金門縣政府,12620,24.449103,118.450599
bike133,草屯自行車道-中興支線,富林路與富昌路交叉口,往中興新村,南投縣,草屯鎮,草屯鎮,2970,23.95809316,120.6851192
bike134,竹山鎮竹山國中周邊人行道暨自行車道改善工程,竹山路昭德橋,中山路桂林橋,南投縣,竹山鎮,竹山鎮公所,440,23.7543066,120.6864862
bike135,卡搭車趴趴走-采風知性慢遊2,中山公園,中山公園,南投縣,南投市,,3430,23.903191,120.691109
bike136,草屯自行車道-北勢湳支線銜接主線,北勢湳支線,主線起點,南投縣,草屯鎮,草屯鎮公所,1035,23.98900703,120.6915904
bike137,環島線(1-3南投環線)集集段自行車道,民權路(台16),山腳巷(台3丙),南投縣,集集鎮,集集鎮公所,3280,23.824979,120.768063
bike138,集集綠色隧道及環鎮自行車道優質化/路線2(集鹿路95巷、96巷、林尾路),八張街與集鹿路96巷口,林尾橋,南投縣,集集鎮,集集鎮公所,2318,23.82352263,120.7685831
bike139,集集綠色隧道及環鎮自行車道優質化/路線1(環山街成功路),第三公墓牌樓,成功路與中集路口,南投縣,集集鎮,集集鎮公所,2275,23.83038217,120.7782197
bike140,市前街(西側),集集街,民生路,南投縣,集集鎮,集集鎮公所,100,23.82774684,120.781596
bike141,市前街(東側),集集街,民生路,南投縣,集集鎮,集集鎮公所,100,23.82775272,120.7816939
bike142,民生路(南側),市前路,民權路,南投縣,集集鎮,集集鎮公所,300,23.82687498,120.7816981
bike143,民生路(北側),市前路,民權路,南投縣,集集鎮,集集鎮公所,300,23.82696524,120.7817005
bike144,文化街(東側),集集街,民生路,南投縣,集集鎮,集集鎮公所,100,23.82790937,120.7826352
bike145,環山路,八張街,成功路,南投縣,集集鎮,集集鎮公所,2000,23.83172313,120.7833932
bike146,集民街(西側),集集街,民生路,南投縣,集集鎮,集集鎮公所,150,23.82804718,120.7835369
bike147,集民街(東側),集集街,民生路,南投縣,集集鎮,集集鎮公所,150,23.82805025,120.783635
bike148,集集綠色隧道及環鎮自行車道優質化/路線3(八張街),八張橋,八張街環山街,南投縣,集集鎮,集集鎮公所,455,23.83416474,120.7924676
bike149,八張街,大園巷(大園橋),八張街終點,南投縣,集集鎮,集集鎮公所,225,23.82997758,120.7925642
bike150,八卦山自行車道,老樟母女樹,長青自行車道入口,南投縣,南投市,南投市公所,730,23.889116,120.62655
bike151,縣150自行車道,同源圳自行車道(OK+000),南投縣與彰化縣交界(5K+093),南投縣,名間鄉,南投縣名間鄉公所,5093,23.85750345,120.6277156
bike152,名間鄉松柏嶺茶香之旅,豐柏廣場,地震公園,南投縣,名間鄉,南投縣名間鄉公所,4000,23.85737,120.629189
bike153,名間-?下自行車道,赤水派出所,一五零縣道,南投縣,名間鄉,南投縣名間鄉公所,7400,23.885704,120.632583
bike154,南投市八卦山稜線景點鐵馬串聯計畫(八卦山自行車道),老樟母女樹,八卦路橫山長青自行車道出口,南投縣,南投市,南投市公所,7390,23.946538,120.635588
bike155,永興自行車道(參山),永興里永興社區牌樓對面,觀日步道入口意象往北,南投縣,南投市,參山國家風景區管理處,1500,23.89606513,120.6371795
bike156,南投市環山線南投銜接草屯及名間自行車道串連計畫,平林橋,蓮蕉巷,南投縣,南投市,南投縣南投市公所,10000,23.951783,120.656818
bike157,南投縣集集系統(清水溪)暨天空支線自行車道建置計畫(南投/中寮段主線),南投市台3線與吉利路口,中寮鄉龍眼林福利協會,南投縣,南投市-中寮鄉,南投縣政府,15200,23.94880914,120.6603699
bike158,南投縣集集系統(清水溪)暨天空支線自行車道建置計畫(南投市貓羅溪環線),南崗大橋,綠美橋,南投縣,南投市,南投縣政府,4150,23.94146412,120.6735985
bike159,下坪自行車道,,,南投縣,,,,23.76998561,120.6748285
bike160,縣152自行車道,名間水圳環台山線與名松路(縣139乙)交會處(0K+000),濁水北岸大排防汛道路與彰化縣交界處(7K+200),南投縣,名間鄉,南投縣名間鄉公所,7200,23.81461747,120.6757915
bike161,同源圳自行車道,樂利路,成功路,南投縣,南投市,南投市公所,5000,23.892665,120.676231
bike162,名間鄉波羅水綠隧自行車道,縣152南投彰化縣界,集集綠色隧道起點,南投縣,名間鄉,名間鄉公所,6695,23.818907,120.676779
bike163,前山第一城至下坪里自行車道優質化設計及工程,竹山鎮育英橋,竹山鎮遊客中心,南投縣,竹山鎮,竹山鎮公所,7885,23.75462105,120.6770983
bike164,貓羅溪自行車道,綠美橋,南崗大橋,南投縣,南投市,,3700,23.940889,120.678268
bike165,名間水圳環線自行車道串連計畫工程,同源圳嘉和,同源圳濁水,南投縣,名間鄉,名間鄉公所,8900,23.88095961,120.6796539
bike166,南投市八卦山稜線串連城鎮之心自行車道,彰化縣、南投縣在139縣道縣界處,南投市中興路與祖祠路口,南投縣,南投市,南投縣政府,14100,23.906592,120.679785
bike167,草屯鎮自行車道-北勢湳支線,銜接草屯貓羅溪自行車道,銜接草屯鎮自行車道主線,南投縣,草屯鎮,草屯鎮公所,7970,24.00203209,120.6913634
bike168,草屯自行車道-主線,草鞋墩演藝中心,中潭公路(雙冬),南投縣,草屯鎮,草屯鎮,13740,23.97964392,120.6923581
bike169,草屯自行車道-隘寮溪支線,鹽土路(銜接 主線),博愛路 自來水廠路口,南投縣,草屯鎮,草屯鎮,4235,23.98076749,120.6928044
bike170,草屯A環線,,,南投縣,,,,23.98250813,120.6938558
bike171,竹山鎮桂林里社區九曲水自行車道休憩站解說系統工程,桂林里2號橋,桂林里社區發展協會,南投縣,竹山鎮,南投縣政府,1000,23.74884782,120.6947762
bike172,九曲水自行車道,,,南投縣,,,,23.74890694,120.6948284
bike173,草屯-貓羅溪自行車道,烏溪橋,平林橋,南投縣,草屯鎮,草屯鎮公所,12016,24.00708195,120.6950197
bike174,草屯C環線虎山,,,南投縣,,,,23.97893126,120.6974033
bike175,彰化二水田中與南投集集自行車系統串連計畫,彰化縣與南投縣150線界址,南投縣150線同源自行車道,南投縣,名間鄉,名間鄉公所,12000,23.842344,120.69801
bike176,名間鄉山腳巷道路改善工程,投25線與台3線路口,山腳巷52之19號,南投縣,名間鄉,南投縣政府,2601,23.842521,120.69982
bike177,草屯自行車道-坪頂支線,富頂路一段505巷口(銜接主線),南坪路及青宅巷交叉路口(銜接主線),南投縣,草屯鎮,草屯鎮,7470,23.97155818,120.7088254
bike178,草屯B環線,,,南投縣,,,,23.97394466,120.7122181
bike179,社寮金雞線敬聖亭紫南宮到富州集集攔河堰及火車站,社寮紫南宮金雞橋,富州集集攔河堰及集集火車站,南投縣,竹山鎮,竹山鎮公所,6000,23.81693387,120.7225585
bike180,集集綠色隧道自行車道,集集綠色隧道,集集火車站,南投縣,集集鎮,集集鎮公所,8760,23.834414,120.738373
bike181,集集自行車道,,,南投縣,,,,23.83283207,120.7432044
bike182,草屯自行車道-平林支線,平林橋南端(銜接主線),南坪橋(銜接主線),南投縣,草屯鎮,草屯鎮,3800,23.98070156,120.7569575
bike183,過溪城自行車道,復興巷,新城巷,南投縣,中寮鄉,中寮鄉公所,5400,23.88234531,120.7686281
bike184,草屯B環線,,,南投縣,,,,23.9778465,120.7700266
bike185,樟平溪自行車道,龍安村,清水村,南投縣,中寮鄉,中寮鄉公所,9110,23.94221303,120.7724476
bike186,草屯B環線,,,南投縣,,,,23.98003487,120.7812073
bike187,集集鎮清水溝溪沿岸自行車道,初中街,文化街,南投縣,集集鎮,集集鎮公所,160,23.82855697,120.7826346
bike188,集集綠色隧道及環鎮自行車道優質化/路線4(濁水溪堤防自行車道護欄),集鹿大橋北岸橋頭,集鹿大橋北岸橋頭向東延伸208公尺,南投縣,集集鎮,集集鎮公所,214,23.82168261,120.7843083
bike189,南投縣集集系統(清水溪)暨天空支線自行車道建置計畫(集集環鎮玉映支線),初中橋頭,玉映堤防終點,南投縣,集集鎮,南投縣政府,1985,23.8288406,120.7844392
bike190,集集環鎮自行車道,集集火車站,集集火車站,南投縣,集集鎮,集集鎮公所,11380,23.826876,120.784874
bike191,南投縣集集系統(清水溪)暨天空支線自行車道建置計畫(集集環鎮1號、3號線優質化),民生東路與洞角巷口,八張橋頭,南投縣,集集鎮,南投縣政府,1850,23.83001291,120.7925706
bike192,草屯自行車道-九九峰支線,石灼巷及中心巷路口,中心巷中心橋處,南投縣,草屯鎮,草屯鎮,1450,23.99015589,120.7939237
bike193,草屯自行車道-石灼支線,中正路與石灼巷入口,石灼巷 觀景點,南投縣,草屯鎮,草屯鎮,3140,23.98496091,120.7941377
bike194,國姓-福龜,北玄宮,福龜國小,南投縣,國姓鄉,,,24.011989,120.816634
bike195,國姓-136線,國姓鄉台14與縣136交會處,縣境與台中市太平區交會處,南投縣,國姓鄉,國姓鄉公所,8794,24.069382,120.816983
bike196,國姓-133線,國姓鄉台14與縣133交會處,國姓鄉台21與縣133交會處,南投縣,國姓鄉,國姓鄉公所,6200,24.02568646,120.844599
bike197,水里車埕自行車道,水里,車埕車站,南投縣,水里鄉,日管處,2000,23.81334147,120.8505321
bike198,水里水岸自行車道,水里溪紅橋,水里鄉清潔隊,南投縣,水里鄉,南投縣水里鄉公所,1302,23.821596,120.85728
bike199,南投縣觀光自行車道-水里線,水里玉山國家公園管理處,水里鄉永興村大樟樹,南投縣,水里鄉,水里鄉公所,5820,23.7839998,120.8621514
bike200,踏雪尋梅自行車道,羅娜村,同富村,南投縣,信義鄉,信義鄉公所,10500,23.625734,120.8660345
